2025-08-08 15:54:21 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 15:56:49 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:03:05 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:03:07 | INFO     | EtiquetadorZPL | load_config:277 | ✅ Configuración cargada
2025-08-08 16:03:50 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:03:51 | INFO     | EtiquetadorZPL | load_config:277 | ✅ Configuración cargada
2025-08-08 16:05:18 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:05:19 | INFO     | EtiquetadorZPL | load_config:279 | ✅ Configuración cargada
2025-08-08 16:07:08 | INFO     | EtiquetadorZPL | start_monitoring:330 | Iniciando validación de configuración...
2025-08-08 16:07:08 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 16:07:08 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 16:07:08 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 16:07:08 | INFO     | EtiquetadorZPL | start_monitoring:351 | Validación exitosa. Iniciando monitoreo...
2025-08-08 16:07:09 | INFO     | EtiquetadorZPL | _start_monitoring_thread:426 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 16:07:09 | INFO     | EtiquetadorZPL | _start_monitoring_thread:426 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 16:07:09 | INFO     | EtiquetadorZPL | _update_ui_monitoring_started:445 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 16:09:47 | INFO     | EtiquetadorZPL | stop_monitoring:483 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 16:10:32 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:10:32 | INFO     | EtiquetadorZPL | load_config:280 | ✅ Configuración cargada
2025-08-08 16:10:42 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:10:42 | INFO     | EtiquetadorZPL | load_config:280 | ✅ Configuración cargada
2025-08-08 16:13:25 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:15:28 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:15:38 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:18:56 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:19:08 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:23:44 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:25:02 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:27:09 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:27:09 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:27:09 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:27:09 | INFO     | EtiquetadorZPL | create_widgets:84 | Creando widgets de la interfaz...
2025-08-08 16:27:11 | INFO     | EtiquetadorZPL | create_widgets:216 | Interfaz creada completamente
2025-08-08 16:28:35 | INFO     | EtiquetadorZPL | <module>:567 | Creando aplicación...
2025-08-08 16:28:35 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:28:35 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:28:35 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:28:35 | INFO     | EtiquetadorZPL | create_widgets:90 | Creando widgets de la interfaz...
2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | create_widgets:222 | Interfaz creada completamente
2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | load_config:269 | Iniciando carga de configuración...
2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | load_config:271 | Llamando a cargar_configuracion()...
2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | load_config:273 | Configuración cargada: True
2025-08-08 16:28:36 | ERROR    | EtiquetadorZPL | __init__:62 | Error al cargar configuración: 'EtiquetadorGUI' object has no attribute 'log_message'
2025-08-08 16:28:36 | ERROR    | EtiquetadorZPL | __init__:64 | Traceback (most recent call last):
  File "C:\Programa\EtiquetadorZPL\main_gui.py", line 295, in load_config
    self.log_message("✅ Configuración cargada")
AttributeError: 'EtiquetadorGUI' object has no attribute 'log_message'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Programa\EtiquetadorZPL\main_gui.py", line 59, in __init__
    self.load_config()
  File "C:\Programa\EtiquetadorZPL\main_gui.py", line 299, in load_config
    self.log_message(f"❌ Error al cargar configuración: {e}")
AttributeError: 'EtiquetadorGUI' object has no attribute 'log_message'

2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | <module>:569 | Aplicación creada, iniciando run()...
2025-08-08 16:28:36 | INFO     | EtiquetadorZPL | run:561 | Iniciando mainloop...
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | <module>:567 | Creando aplicación...
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | create_widgets:90 | Creando widgets de la interfaz...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | create_widgets:222 | Interfaz creada completamente
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:269 | Iniciando carga de configuración...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:271 | Llamando a cargar_configuracion()...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:273 | Configuración cargada: True
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:295 | ✅ Configuración cargada
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | <module>:569 | Aplicación creada, iniciando run()...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | run:561 | Iniciando mainloop...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | <module>:569 | Creando aplicación...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | create_widgets:90 | Creando widgets de la interfaz...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | create_widgets:224 | Interfaz creada completamente
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:271 | Iniciando carga de configuración...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:273 | Llamando a cargar_configuracion()...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:275 | Configuración cargada: True
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:297 | ✅ Configuración cargada
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | <module>:571 | Aplicación creada, iniciando run()...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | run:563 | Iniciando mainloop...
2025-08-08 16:33:15 | INFO     | EtiquetadorZPL | save_config:335 | 💾 Configuración guardada
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | start_monitoring:348 | Iniciando validación de configuración...
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 16:33:17 | WARNING  | EtiquetadorZPL | _validar_impresora:83 | No se pudo verificar impresora Godex GE300: (1722, 'EnumPrinters', 'El servidor RPC no está disponible.')
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
